# x     y   
8       0.000039 
16      0.000040 
24      0.000041 
32      0.000039 
40      0.000039 
48      0.000043 
56      0.000045 
64      0.000045 
72      0.000044
80      0.000049
88      0.000043
96      0.000064
104     0.000069 
112     0.000090 
120     0.000084 
128     0.000089 
136     0.000098 
144     0.000092 
152     0.000096
160     0.000095
168     0.000098
172     0.000100
184     0.000101
192     0.000103
200     0.000109
208     0.000108
216     0.000111
224     0.000128
232     0.000135 
240     0.000134 
248     0.000137 
256     0.000141 
264     0.000142 
272     0.000155 
280     0.000154
