#   y1        y2          y3          y4          y5          y6        y7          y8          y9          y10
1   6.907409  6.916754    6.840930    6.868220    6.893635    3.782972  3.822826    4.068318    3.832485    3.881217
2   6.970989  6.947450    6.985372    6.931897    6.970901    3.853079  3.868093    3.829219    3.896318    3.884637
3   6.956203  6.944425    6.956236    6.955021    6.963811    3.836784  3.859869    3.862135    3.857244    3.900434
4   6.938924  7.133517    7.190527    7.181010    7.204269    3.952191  3.864440    3.864335    3.832858    3.871935
5   6.946840  6.919331    6.975163    6.957390    6.924573    3.868168  3.836564    3.849712    3.908218    3.885063
6   7.050321  6.998992    6.963548    6.987248    7.015585    3.893110  3.877634    3.878692    3.851303    3.866147
7   6.993817  6.999938    6.970557    6.930620    6.962534    3.869872  3.858172    3.823441    3.895504    3.879901
8   6.947424  6.911280    6.947294    7.009910    6.990603    3.894459  3.844342    4.011787    4.050226    4.006259
9   7.193103  6.935994    6.944455    7.017647    7.000145    3.824018  3.872820    3.864264    3.832591    3.879165
10  6.956690  6.957553    6.933062    6.979753    6.934721    3.893420  3.855346    3.818476    3.873698    3.876068
