#id   time   IPC
1 4.408650 0.232
2 4.652591 0.225
3 4.349661 0.235
4 4.424461 0.232
5 4.736931 0.222
6 4.898210 0.222
7 5.228191 0.211
8 4.980397 0.217
9 4.764639 0.225
10 5.072025 0.213
