#id   time   IPC
1 4.256254 0.295
2 4.433678 0.290
3 4.525497 0.286
4 4.688947 0.280
5 4.140132 0.303
6 4.128417 0.303
7 4.212471 0.298
8 4.242080 0.297
9 4.234280 0.297
10 4.199244 0.299
